voteFoodUp,voteFoodDown,voteFoodLeft,voteFoodRight,voteGhostUp,voteGhostDown,voteGhosLeft,voteGhostRight,labelNextAction
0,0,0.005,0.0,0,0,-0.195,-0.075,East
0,0,0.005,0.0,0,0,-0.292,-0.1,East
0.004,0,0.0,0.0,-0.137,0,-0.292,0.0,East
0,0,0.003,0.0,0,0,-0.35,0.0,East
0.0,0,0.003,0.0,0.0,0,-0.509,0.0,North
0.003,0.0,0,0,-0.058,-0.292,0,0,North
0.003,0.0,0,0.0,-0.1,-0.292,0,0.0,East
0,0,0.0,0,0,0,0.0,0,West
0.003,0.0,0,0.0,-0.137,-0.8,0,0.0,East
0,0,0.0,0,0,0,0.0,0,West
0.003,0.0,0,0.0,-0.463,-0.463,0,0.0,North
0.0,0.0,0.003,0,0.0,0.0,-1.092,0,North
0,0.003,0.0,0.0,0,-0.8,-0.8,0.0,East
0,0,0.003,0.0,0,0,-0.584,0.0,East
0,0,0.002,0.0,0,0,-0.39,0.0,East
0,0.0,0.002,0,0,0.0,-0.2,0,South
0.002,0.0,0,0,-0.2,0.0,0,0,South
0.001,0.0,0,0,-0.116,0.0,0,0,South
0.0,0.001,0,0,-0.075,-0.058,0,0,South
0.0,0,0.001,0,-0.046,0,-0.137,0,West
0,0,0.002,0.0,0,0,-0.392,0.0,West
0,0,0.002,0.0,0,0,-0.9950000000000001,0.0,East
0,0,0.002,0.0,0,0,-0.332,0.0,East
0.0,0,0.001,0,-0.075,0,-0.137,0,North
0.0,0.001,0,0,-0.137,-0.075,0,0,North
0.001,0.0,0,0,-0.367,0.0,0,0,South
0.0,0.001,0,0,-0.367,0.0,0,0,South
0.0,0,0.001,0,-0.195,0,-0.1,0,West
0,0,0.002,0.0,0,0,-0.137,-0.195,West
0,0,0.002,0.0,0,0,-0.195,-0.292,West
0.0,0,0.003,0.0,-0.926,0,0.0,0.0,West
0,0,0.003,0.0,0,0,-0.292,-0.463,West
0.004,0,0.0,0.0,-0.8,0,0.0,-0.137,West
0,0,0.005,0.0,0,0,0.0,-0.937,West
0,0,0.005,0.0,0,0,0.0,-0.367,West
0,0,0.005,0.0,0,0,0.0,-0.253,West
0,0,0.006,0.0,0,0,0.0,-0.183,West
0,0,0.008,0.0,0,0,0.0,-0.133,West
0,0,0.012,0.0,0,0,-0.058,-0.075,West
0.02,0,0.0,0.0,-0.195,0,0.0,-0.046,West
0,0,0.028,0.0,0,0,0.0,-0.136,West
0.063,0,0.0,0.0,0.0,0,0.0,-0.136,North
0.111,0.0,0,0,-0.075,-0.058,0,0,North
0.25,0.0,0.0,0,-0.137,-0.024,0.0,0,North
1.0,0.0,0,0.0,0.0,-0.024,0,-0.195,North
0,0,0.5580000000000002,1.3509999999999993,0,0,-0.03,-0.024,East
0,0,0.2620000000000001,1.4369999999999996,0,0,0.0,-0.08199999999999999,East
0,0,0.18700000000000003,1.6029999999999998,0,0,0.0,-0.116,East
0,0,0.139,2.0780000000000007,0,0,0.0,-0.23700000000000002,East
1.9140000000000001,0,0.08300000000000002,1.469,-0.487,0,0.0,0.0,North
2.1409999999999996,0.40700000000000014,0,0,-0.487,0.0,0,0,North
2.2539999999999996,0.24900000000000005,0.555,0,0.0,0.0,-0.755,0,North
1.487,0.4500000000000002,0,0.9830000000000001,0.0,-0.39,0,0.0,North
0,0.5930000000000002,0,0.9870000000000001,0,-0.39,0,0.0,East
0,1.722,0.15200000000000002,1.739,0,-0.195,-0.195,0.0,South
0.47500000000000003,0,0.24800000000000005,1.731,0.0,0,-0.487,0.0,East
1.465,1.4759999999999998,0.15900000000000006,0,0.0,0.0,-0.175,0,North
