,ghostUp,ghostDown,ghostLeft,ghostRight,wallUp,wallDown,wallLeft,wallRight,foodUp,foodDown,foodLeft,foodRight,emptyUp,emptyDown,emptyLeft,emptyRight,nearestFood,nearestGhost,nearestCapsule,legalPositionUp,legalPositionDown,legalPositionULeft,legalPositionRight,pacmanPositionX,pacmanPositionY,labelNextAction
35,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,1,1,1,0.5,0.058823529,0.047619048,TRUE,TRUE,TRUE,FALSE,0.2,0.428571429,West
,,,,,,,,,,,,,,,,,,,,,,,,,,
36,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,1,0.5,0.5,0.5,FALSE,FALSE,FALSE,TRUE,0.15,0.428571429,East
,,,,,,,,,,,,,,,,,,,,,,,,,,
37,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,1,1,1,0.5,0.055555556,0.047619048,TRUE,TRUE,TRUE,FALSE,0.2,0.428571429,West
,,,,,,,,,,,,,,,,,,,,,,,,,,
38,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,1,0.5,0.5,0.5,FALSE,FALSE,FALSE,TRUE,0.15,0.428571429,East
,,,,,,,,,,,,,,,,,,,,,,,,,,
39,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,1,1,1,0.5,0.052631579,0.047619048,TRUE,TRUE,TRUE,FALSE,0.2,0.428571429,West
,,,,,,,,,,,,,,,,,,,,,,,,,,
40,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,1,0.5,0.5,0.5,FALSE,FALSE,FALSE,TRUE,0.15,0.428571429,East
,,,,,,,,,,,,,,,,,,,,,,,,,,
41,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,1,1,1,0.5,0.047619048,0.047619048,TRUE,TRUE,TRUE,FALSE,0.2,0.428571429,West
,,,,,,,,,,,,,,,,,,,,,,,,,,
42,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,1,0.5,0.5,0.5,FALSE,FALSE,FALSE,TRUE,0.15,0.428571429,East
,,,,,,,,,,,,,,,,,,,,,,,,,,
43,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,1,1,1,0.5,0.052631579,0.047619048,TRUE,TRUE,TRUE,FALSE,0.2,0.428571429,West
,,,,,,,,,,,,,,,,,,,,,,,,,,
44,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,1,1,0.5,0.5,0.5,FALSE,FALSE,FALSE,TRUE,0.15,0.428571429,East
,,,,,,,,,,,,,,,,,,,,,,,,,,
45,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,1,1,1,0.5,0.055555556,0.047619048,TRUE,TRUE,TRUE,FALSE,0.2,0.428571429,North
,,,,,,,,,,,,,,,,,,,,,,,,,,
46,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,1,1,1,0.5,0.058823529,0.052631579,TRUE,TRUE,FALSE,TRUE,0.2,0.571428571,East
,,,,,,,,,,,,,,,,,,,,,,,,,,
47,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1,1,1,1,1,0.0625,0.055555556,TRUE,FALSE,TRUE,TRUE,0.25,0.571428571,East
,,,,,,,,,,,,,,,,,,,,,,,,,,
48,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,1,1,1,1,1,0.076923077,0.0625,TRUE,TRUE,TRUE,FALSE,0.3,0.571428571,South
,,,,,,,,,,,,,,,,,,,,,,,,,,
49,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,1,1,1,1,1,0.090909091,0.066666667,TRUE,TRUE,FALSE,TRUE,0.3,0.428571429,East
,,,,,,,,,,,,,,,,,,,,,,,,,,
50,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,1,1,1,1,0.111111111,0.076923077,FALSE,FALSE,TRUE,TRUE,0.35,0.428571429,East
,,,,,,,,,,,,,,,,,,,,,,,,,,
51,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,1,1,1,1,0.125,0.090909091,FALSE,FALSE,TRUE,TRUE,0.4,0.428571429,East
,,,,,,,,,,,,,,,,,,,,,,,,,,
52,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,1,1,1,1,0.125,0.090909091,TRUE,FALSE,TRUE,TRUE,0.45,0.428571429,East
,,,,,,,,,,,,,,,,,,,,,,,,,,
53,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,1,1,1,1,0.125,0.1,TRUE,FALSE,TRUE,TRUE,0.5,0.428571429,East
,,,,,,,,,,,,,,,,,,,,,,,,,,
54,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,1,1,1,1,0.142857143,0.111111111,FALSE,FALSE,TRUE,TRUE,0.55,0.428571429,East
,,,,,,,,,,,,,,,,,,,,,,,,,,
55,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,1,1,1,1,0.142857143,0.142857143,FALSE,FALSE,TRUE,TRUE,0.6,0.428571429,East
,,,,,,,,,,,,,,,,,,,,,,,,,,
56,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,1,1,1,1,1,0.142857143,0.166666667,TRUE,TRUE,TRUE,FALSE,0.65,0.428571429,North
,,,,,,,,,,,,,,,,,,,,,,,,,,
57,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,1,1,1,1,1,0.142857143,0.166666667,TRUE,TRUE,FALSE,TRUE,0.65,0.571428571,East
,,,,,,,,,,,,,,,,,,,,,,,,,,
58,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1,1,1,1,1,0.142857143,0.25,TRUE,FALSE,TRUE,TRUE,0.7,0.571428571,East
,,,,,,,,,,,,,,,,,,,,,,,,,,
59,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,1,1,1,1,1,0.142857143,0.333333333,TRUE,TRUE,TRUE,FALSE,0.75,0.571428571,South
,,,,,,,,,,,,,,,,,,,,,,,,,,
60,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,1,1,1,1,0.166666667,0.5,TRUE,TRUE,FALSE,TRUE,0.75,0.428571429,East
,,,,,,,,,,,,,,,,,,,,,,,,,,
61,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,1,1,1,0.5,0.5,0,FALSE,FALSE,TRUE,FALSE,0.8,0.428571429,West
,,,,,,,,,,,,,,,,,,,,,,,,,,
62,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,1,1,1,1,0.2,0,TRUE,TRUE,FALSE,TRUE,0.75,0.428571429,South
,,,,,,,,,,,,,,,,,,,,,,,,,,
63,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1,1,1,1,0.5,0.333333333,0,TRUE,TRUE,FALSE,FALSE,0.75,0.285714286,South
,,,,,,,,,,,,,,,,,,,,,,,,,,
64,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,1,1,1,1,1,1,0,TRUE,FALSE,TRUE,TRUE,0.75,0.142857143,East
,,,,,,,,,,,,,,,,,,,,,,,,,,
65,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,1,1,1,1,0.066666667,0,FALSE,FALSE,TRUE,TRUE,0.8,0.142857143,East
,,,,,,,,,,,,,,,,,,,,,,,,,,
66,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,1,1,1,1,0.0625,0,FALSE,FALSE,TRUE,TRUE,0.85,0.142857143,East
,,,,,,,,,,,,,,,,,,,,,,,,,,
