0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,nearestFood,nearestGhost,nearestCapsule,pacmanPositionX,pacmanPositionY,lastAction,labelNextAction
2,34,2,2,2,6,34,2,2,2,6,34,34,2,6,34,6,34,34,6,6,6,6,6,1.0,1.0,0.1111111111111111,0.55,0.42857142857142855,2,2
2,34,2,34,2,2,34,2,2,2,6,34,2,2,6,34,2,34,2,6,34,6,34,34,0.3333333333333333,1.0,0.1,0.5,0.42857142857142855,0,0
34,2,34,2,34,34,2,2,2,34,34,2,2,34,34,2,34,2,34,34,6,34,34,34,0.25,1.0,0.09090909090909091,0.5,0.5714285714285714,0,0
2,34,2,34,2,2,2,2,34,2,2,2,34,2,2,34,2,34,2,6,34,34,34,2,0.2,1.0,0.08333333333333333,0.5,0.7142857142857143,3,3
0,34,6,34,6,0,34,6,34,6,0,34,34,6,0,34,6,34,6,0,34,6,34,6,1.0,0.06666666666666667,0.08333333333333333,0.45,0.14285714285714285,3,3
0,34,6,34,6,0,34,2,34,6,0,34,34,6,0,34,6,34,6,0,34,6,34,6,1.0,0.07692307692307693,0.08333333333333333,0.5,0.14285714285714285,3,3
0,34,2,34,6,0,34,2,34,6,0,34,34,6,0,34,6,34,6,0,34,6,6,6,1.0,0.09090909090909091,0.1,0.55,0.14285714285714285,3,3
0,34,2,34,6,0,34,2,34,6,0,34,34,6,0,34,6,6,6,0,34,6,34,34,1.0,0.1111111111111111,0.125,0.6,0.14285714285714285,3,3
0,34,2,34,6,0,34,2,34,6,0,34,6,6,0,34,6,34,34,0,34,6,6,6,1.0,0.16666666666666666,0.16666666666666666,0.65,0.14285714285714285,3,3
0,34,2,34,6,0,34,2,6,6,0,34,34,34,0,34,6,6,6,0,34,6,34,2,1.0,0.125,0.2,0.7,0.14285714285714285,3,3
0,34,2,6,6,0,34,2,34,34,0,34,6,6,0,34,6,34,2,0,34,6,34,34,1.0,0.14285714285714285,0.25,0.75,0.14285714285714285,3,3
0,34,2,34,34,0,34,2,6,6,0,34,34,2,0,34,6,34,34,0,34,6,6,6,1.0,0.1111111111111111,0.16666666666666666,0.8,0.14285714285714285,3,3
0,34,2,6,6,0,34,2,34,2,0,34,34,34,0,34,6,6,6,0,34,34,34,34,1.0,0.1,0.125,0.85,0.14285714285714285,3,3
0,34,2,34,2,0,34,2,34,34,0,34,6,6,0,34,34,34,34,0,2,2,2,2,1.0,0.1,0.1,0.9,0.14285714285714285,0,0
34,2,34,2,34,34,2,34,34,34,34,2,6,6,34,34,34,34,34,2,2,2,2,2,1.0,0.09090909090909091,0.08333333333333333,0.9,0.2857142857142857,0,0
2,34,2,34,6,2,34,34,34,6,2,2,6,6,34,34,34,34,34,2,2,2,2,2,1.0,0.07142857142857142,0.07692307692307693,0.9,0.42857142857142855,0,0
34,2,34,6,34,34,34,34,6,34,2,2,6,34,34,34,34,34,34,2,2,2,2,2,1.0,0.0625,0.09090909090909091,0.9,0.5714285714285714,0,0
2,34,6,34,2,34,34,6,34,2,2,2,34,2,34,34,34,34,2,2,2,2,2,2,0.5,0.0625,0.1,0.9,0.7142857142857143,2,2
6,6,6,34,2,2,34,6,34,2,34,34,34,2,2,2,2,34,2,34,34,34,34,2,0.5,0.07142857142857142,0.125,0.85,0.7142857142857143,2,2
34,6,6,34,2,6,6,6,34,2,2,34,34,2,34,34,2,34,2,2,2,2,34,2,0.5,0.09090909090909091,0.16666666666666666,0.8,0.7142857142857143,2,2
6,6,6,34,2,34,6,6,34,2,6,6,34,2,2,34,2,34,2,34,34,2,34,2,1.0,0.1,0.3333333333333333,0.75,0.7142857142857143,2,2
6,34,34,34,2,6,6,6,34,2,34,6,34,2,6,6,2,34,2,2,34,2,34,2,1.0,0.1,0.25,0.7,0.7142857142857143,1,1
34,6,34,34,34,6,6,6,6,34,34,34,2,34,6,6,6,2,34,34,2,34,2,34,1.0,0.09090909090909091,0.25,0.7,0.5714285714285714,3,3
6,6,6,6,34,34,34,2,2,34,6,6,2,34,34,2,34,2,34,34,34,34,2,34,1.0,0.08333333333333333,0.3333333333333333,0.75,0.5714285714285714,1,1
2,6,6,6,6,2,34,34,2,2,2,6,2,2,2,34,2,34,2,2,34,34,34,2,1.0,0.09090909090909091,0.5,0.75,0.42857142857142855,1,1
0,34,2,34,6,0,34,2,34,6,0,34,6,6,0,34,2,34,34,0,34,2,2,2,1.0,0.3333333333333333,0.16666666666666666,0.65,0.14285714285714285,0,0
34,2,34,6,34,34,2,34,6,34,34,2,6,6,34,2,34,34,2,34,2,2,2,2,1.0,0.25,0.14285714285714285,0.65,0.2857142857142857,0,0
2,34,6,34,2,2,34,6,34,34,2,2,6,6,2,34,34,2,2,2,2,2,2,2,1.0,0.25,0.16666666666666666,0.65,0.42857142857142855,2,2
2,34,6,2,2,2,34,6,34,2,2,34,34,34,2,2,2,6,6,2,34,34,2,2,0.5,0.16666666666666666,0.14285714285714285,0.6,0.42857142857142855,2,2
2,34,6,2,2,2,34,6,2,2,2,34,34,2,2,34,2,34,34,2,2,2,6,6,0.5,0.16666666666666666,0.1111111111111111,0.55,0.42857142857142855,2,2
2,34,2,34,2,2,34,2,34,34,2,2,6,6,2,34,34,2,2,2,2,2,2,2,1.0,0.2,0.16666666666666666,0.65,0.42857142857142855,0,0
34,2,34,2,34,34,2,34,34,34,2,2,6,34,34,34,2,2,34,2,2,2,2,34,1.0,0.2,0.16666666666666666,0.65,0.5714285714285714,0,0
2,2,2,34,2,34,2,2,34,2,2,2,34,2,2,34,2,34,2,34,34,2,34,2,0.1,1.0,0.3333333333333333,0.75,0.7142857142857143,3,3
6,34,6,34,2,2,34,6,2,2,2,34,2,2,2,34,2,34,2,2,34,2,34,34,0.5,0.2,0.1,0.5,0.42857142857142855,2,2
6,34,6,34,34,6,34,6,34,2,2,34,2,2,2,34,2,2,2,2,34,2,34,2,0.5,0.14285714285714285,0.1,0.45,0.42857142857142855,2,2
6,6,6,6,6,6,34,6,34,34,6,34,34,2,2,34,2,2,2,2,34,2,2,2,0.5,0.1111111111111111,0.1111111111111111,0.4,0.42857142857142855,2,2
6,34,34,6,6,6,6,6,6,6,6,34,34,34,6,34,2,34,2,2,34,2,2,2,0.5,0.1111111111111111,0.125,0.35,0.42857142857142855,2,2
6,6,6,6,6,6,34,34,6,6,6,6,6,6,6,34,2,34,34,6,34,2,34,2,1.0,0.16666666666666666,0.16666666666666666,0.3,0.42857142857142855,1,1
34,6,6,6,6,34,6,34,34,6,34,6,2,6,34,6,34,2,34,34,6,34,2,34,0.5,0.16666666666666666,0.14285714285714285,0.3,0.2857142857142857,1,1
0,34,6,6,6,0,34,6,34,34,0,34,2,2,0,34,6,34,2,0,34,6,34,2,1.0,0.16666666666666666,0.16666666666666666,0.3,0.14285714285714285,3,3
0,34,6,34,34,0,34,2,2,2,0,34,34,2,0,34,6,34,2,0,34,2,34,2,1.0,0.14285714285714285,0.1111111111111111,0.35,0.14285714285714285,3,3
34,2,34,34,34,2,2,2,2,34,34,34,2,34,2,2,2,2,34,34,2,34,2,34,0.07692307692307693,1.0,0.25,0.7,0.5714285714285714,0,0
2,2,2,34,2,34,2,2,34,2,2,2,34,2,2,34,2,34,2,34,34,2,34,2,0.07142857142857142,1.0,0.3333333333333333,0.75,0.7142857142857143,2,2
2,34,34,34,2,2,2,2,34,2,34,2,34,2,2,2,2,34,2,2,34,2,34,2,0.08333333333333333,1.0,0.25,0.7,0.7142857142857143,3,3
2,2,2,2,2,2,34,34,2,2,2,2,2,2,2,34,2,34,2,2,34,34,34,2,0.0625,1.0,0.045454545454545456,0.75,0.42857142857142855,0,0
34,2,34,34,34,2,2,2,2,34,34,34,2,34,2,2,2,2,34,34,2,34,2,34,0.07692307692307693,1.0,0.05263157894736842,0.7,0.5714285714285714,3,3
2,2,2,2,34,34,34,2,2,34,2,2,2,34,34,2,34,2,34,34,34,34,2,34,0.07142857142857142,0.5,0.05263157894736842,0.75,0.5714285714285714,2,2
34,2,34,2,34,34,2,34,2,34,34,2,2,2,34,2,34,34,2,34,2,2,2,2,0.09090909090909091,1.0,0.058823529411764705,0.65,0.2857142857142857,1,1
2,34,2,34,2,2,34,34,34,2,2,2,34,2,34,2,2,34,2,2,2,2,34,2,0.08333333333333333,1.0,0.05555555555555555,0.65,0.7142857142857143,3,3
0,34,6,6,6,0,34,6,34,34,0,34,2,2,0,34,2,34,2,0,34,2,34,2,0.5,0.3333333333333333,0.16666666666666666,0.3,0.14285714285714285,2,2
0,34,6,34,10,0,34,6,6,6,0,34,34,34,0,34,2,2,2,0,34,2,34,2,0.5,0.3333333333333333,0.16666666666666666,0.25,0.14285714285714285,2,2
0,34,6,34,34,0,34,6,34,10,0,34,6,6,0,34,2,34,34,0,34,2,2,2,1.0,0.3333333333333333,0.25,0.2,0.14285714285714285,0,0
34,6,34,34,34,34,6,34,10,34,34,2,6,6,34,2,34,34,6,34,2,2,2,6,1.0,0.3333333333333333,0.3333333333333333,0.2,0.2857142857142857,0,0
6,34,34,34,6,6,34,2,34,6,2,2,6,6,2,34,34,6,6,2,2,2,6,6,1.0,1.0,0,0.2,0.42857142857142855,0,0
